"Drift.Time..days.","NA_11_HP","Column1","Column2","NA_11_H","Column3","Column4","NA_11_M","Column5","Column6","NA_11_L","Column7","Column8","Alt2a_11_M","Column9","Column10","NA_75_HP","Column11","Column12","NA_75_H","Column13","Column14","NA_75_M","Column15","Column16","NA_75_L","Column17","Column18","NA_75_LF","Column19","Column20"
NA,"ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained"
1.375,"2.84217023610131","27.4052115700114","1","2.82305125502818","27.2023546061644","1","2.65384578010988","25.4039669683512","1","2.44390667661318","23.1771586138429","1","2.477611997704","23.4237249078025","1","2.84648218478451","27.1836664834721","1","2.80442110367866","26.7323934225534","1","2.6587942309931","25.1722963896244","1","2.473999171669","23.1979567408565","1","2.40384053446713","22.4493384961399","1"
1.5,"2.91338794269257","30.318599512704","1","2.89469458969203","30.0970491958564","1","2.72874928171813","28.1327162500694","1","2.52282101707509","25.699979630918","1","2.55985813213893","25.9835830399414","1","2.94895261499075","30.1326190984628","1","2.90812150152788","29.6405149240813","1","2.76666010620041","27.9389564958248","1","2.58694501298117","25.7849017538376","1","2.51864598524582","24.9679844813857","1"
1.625,"2.99827705118123","33.3168765638852","1","2.98000297844202","33.0770521742984","1","2.81727119615605","30.9499874462254","1","2.61526182456796","28.3152414554859","1","2.65727544544611","28.6408584853876","1","3.03179960978391","33.1644187082467","1","2.99233352554588","32.6328484496272","1","2.85546581696534","30.7944223127901","1","2.6813873263868","28.4662890802244","1","2.61518450722772","27.5831689886134","1"
1.75,"3.06463458969028","36.3815111535755","1","3.04672493244096","36.1237771067394","1","2.88710532602799","33.8370927722534","1","2.68884406763959","31.0040855231255","1","2.7365453004975","31.3774037858851","1","3.097265954005","36.2616846622518","1","3.05911403496678","35.691962484594","1","2.92663347304508","33.7210557858352","1","2.75796136072196","31.2242504409464","1","2.69379469216075","30.2769636807742","1"
1.875,"3.08119716707259","39.462708320648","1","3.06353110773007","39.1873082144695","1","2.90605648211372","36.7431492543671","1","2.71038242793996","33.7144679510655","1","2.76224559049394","34.139649376379","1","3.11960688920723","39.381291551459","1","3.08232734231275","38.7742898269067","1","2.95276559657089","36.6738213824061","1","2.78770531928985","34.0119557602362","1","2.72490553260056","33.0018692133747","1"
2,"3.07566373359624","42.5383720542443","1","3.0581990213742","42.2455072358437","1","2.90260848328952","39.6457577376566","1","2.70920614519475","36.4236740962602","1","2.76425421891685","36.9039035952959","1","3.11158718318792","42.4928787346469","1","3.07491670184362","41.8492065287503","1","2.94741045130034","39.6212318337064","1","2.78489463726749","36.7968503975037","1","2.72305049600268","35.7249197093774","1"
2.125,"3.07489917771128","45.6132712319556","1","3.05769785534978","45.3032050911934","1","2.90444245974832","42.550200197405","1","2.71385182259478","39.137525918855","1","2.77226821150281","39.6761718067987","1","3.10619203509882","45.5990707697457","1","3.07007665201786","44.9192831807682","1","2.9444635684247","42.5656954021311","1","2.78428868541631","39.5811390829201","1","2.72331812782871","38.4482378372061","1"
2.25,"3.07776019497372","48.6910314269293","1","3.0608502309084","48.3640553221018","1","2.91011214999229","45.4603123473972","1","2.72255268752063","41.8600786063756","1","2.78365027248352","42.4598220792822","1","3.10491680758737","48.7039875773331","1","3.0692407599233","47.9885239406915","1","2.94513129687007","45.5108266990012","1","2.7868192575222","42.3679583404423","1","2.72654496543051","41.1747828026366","1"
2.375,"3.10450945747094","51.7955408844002","1","3.08787851001587","51.4519338321177","1","2.93979321404244","48.4001055614397","1","2.75542385441115","44.6155024607868","1","2.81715587825554","45.2769779575377","1","3.14115421236457","51.8451417896977","1","3.10593333750868","51.0944572782002","1","2.98339872542455","48.4942254244257","1","2.827042274766","45.1950006152083","1","2.76749839964914","43.9422812022858","1"
2.5,"3.17389519192156","54.9694360763218","1","3.15756332912938","54.6094971612471","1","3.01236672025538","51.4124722816951","1","2.8314894692125","47.4469919299993","1","2.8927659134293","48.169743870967","1","3.19930863356329","55.044450423261","1","3.16490688066724","54.2593641588674","1","3.04518077318286","51.5394061976086","1","2.89231667726585","48.0873172924741","1","2.83407214136346","46.7763533436492","1"
