"scenario","year","temperature_flow","p_retained","spawn_date","id"
"Alt2a","85","MF",0.00143265228285185,1985-06-12,210
"Alt2a","85","HF",0.00179331087547677,1985-06-12,211
"Alt2a","85","L",0.00128223448994835,1985-06-12,212
"Alt2a","85","M",0.00179331087547677,1985-06-12,213
"Alt2a","85","H",0.00201126400830244,1985-06-12,214
"Alt2a","85","LP",0.00128223448994835,1985-06-12,215
"Alt2a","85","MP",0.00160185785029648,1985-06-12,216
"Alt2a","85","HP",0.00201126400830244,1985-06-12,217
"Alt2b","85","LF",0.0043778819033443,1985-06-26,218
"Alt2b","85","MF",0.00493885287974739,1985-06-26,219
"Alt2b","85","HF",0.00642443072689888,1985-06-26,220
"Alt2b","85","L",0.00493885287974739,1985-06-26,221
"Alt2b","85","M",0.00560792512549741,1985-06-26,222
"Alt2b","85","H",0.00746382874912798,1985-06-26,223
"Alt2b","85","LP",0.00493885287974739,1985-06-26,224
"Alt2b","85","MP",0.00642443072689888,1985-06-26,225
"Alt2b","85","HP",0.00746382874912798,1985-06-26,226
