"Drift.Time..days.","Alt1a_11_H","Column7","Column8","Alt1a_11_M","Column9","Column10","Alt1a_11_L","Column11","Column12","Alt1a_85_H","Column19","Column20","Alt1a_85_M","Column21","Column22","Alt1a_85_L","Column23","Column24","Alt1a_75_H","Column43","Column44","Alt1a_75_M","Column45","Column46","Alt1a_75_L","Column47","Column48","Alt1a_68_H","Column49","Column50","Alt1a_68_M","Column51","Column52","Alt1a_68_L","Column53","Column54"
NA,"ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained"
2.875,"3.39912546904228","65.5462195333262","1","2.81228193410687","49.88568248683","1","2.70592907008093","47.3164701249869","1","2.19684954132223","41.4914853404024","1","2.10552584035961","39.0081103990829","1","2.0025609538549","36.2154113043563","1","3.16783670218886","61.4589877044866","1","3.05312406635524","58.427172707277","1","2.90640976625467","54.5719912439607","1","2.27029114563761","48.041727373199","1","2.13846085321485","44.5158412025757","1","2.07642234863614","44.0929047476327","1"
3,"3.36745041596686","68.9136699492931","1","2.81949380097762","52.7051762878077","1","2.69306516434946","50.0095352893364","1","2.17920780010259","43.6706931405049","1","2.08942215125906","41.097532550342","1","1.98816959853257","38.2035809028888","1","3.15321543041578","64.6122031349024","1","3.03955283884079","61.4667255461178","1","2.89434867791616","57.4663399218769","1","2.24861562904224","50.2903430022413","1","2.11896479064883","46.6348059932245","1","2.05596913206616","46.1488738796989","1"
3.125,"3.31847253003636","72.2321424793295","1","2.82483352236546","55.5300098101731","1","2.66403084788891","52.6735661372253","1","2.16156355947701","45.832256699982","1","2.0731967998695","43.1707293502115","1","1.97352911393124","40.1771100168201","1","3.1328967470171","67.7450998819195","1","3.01816937674197","64.4848949228598","1","2.87621885471851","60.3425587765954","1","2.22311454955435","52.5134575517956","1","2.0958601397741","48.7306661329986","1","2.0329665814788","48.1818404611777","1"
3.25,"3.28688913943312","75.5190316187626","1","2.83977246162318","58.3697822717963","1","2.64808209110083","55.3216482283261","1","2.15298606609174","47.9852427660737","1","2.06592496714084","45.2366543173523","1","1.96771779404215","42.1448278108622","1","3.10175142858796","70.8468513105074","1","2.96778137280933","67.4526762956691","1","2.84177406952765","63.184332846123","1","2.20194788238394","54.7154054341796","1","2.07653325947204","50.8071993924707","1","2.01249190022422","50.1943323614019","1"
3.375,"3.30696232132944","78.825993940092","0.999999999999925","2.88775987199043","61.2575421437867","0.999999999999925","2.68128947878576","58.0029377071119","0.999999999999925","2.20217138183606","50.1874141479097","1","2.11664144162629","47.3532957589786","1","2.02014486168994","44.1649726725522","1","3.13141810844715","73.9782694189546","1","2.91632466105557","70.3690009567246","1","2.84828328426279","66.0326161303858","1","2.18928139557692","56.9046868297565","1","2.06535401080233","52.872553403273","1","1.99465833478699","52.1889906961889","1"
3.5,"3.37654070943974","82.2025346495317","0.999999999986546","2.97266723543638","64.2302093792231","0.999999999986546","2.76383742617654","60.7667751332884","0.999999999986546","2.28940403364038","52.4768181815501","1","2.20600102707266","49.5592967860513","1","2.11187302518548","46.2768456977376","1","3.18429331871197","77.1625627376665","1","2.81718920150095","73.1861901582256","1","2.85489860933411","68.8875147397199","1","2.19721983133371","59.1019066610902","1","2.0739958795028","54.9465492827758","1","1.98957821047716","54.178568906666","1"
3.625,"3.45832523222576","85.6608598817575","0.999999998965354","3.06380048308038","67.2940098623035","0.999999998965354","2.85714423281628","63.6239193661047","0.999999998965354","2.35940654150426","54.8362247230544","1","2.27855348798357","51.8378502740349","1","2.18726257064852","48.4641082683862","1","3.21647301484802","80.3790357525146","1","2.74189675158576","75.9280869098114","1","2.83811282876403","71.725627568484","1","2.21753188692273","61.3194385480129","1","2.09339243937959","57.0399417221554","1","1.99463898498541","56.1732078916515","1"
3.75,"3.53450284070366","89.1953627224612","0.999999960478384","3.15107542477392","70.4450852870774","0.999999960478384","2.94918399400242","66.5731033601071","0.999999960478384","2.4220598443918","57.2582845674462","1","2.3439692987807","54.1818195728156","1","2.25575815576074","50.7198664241469","1","3.20827181550017","83.5873075680147","0.999999999999986","2.88610601730034","78.8141929271117","0.999999999999986","2.80234464552081","74.5279722140048","0.999999999999986","2.32106010376335","63.6404986517762","1","2.17121393538314","59.2111556575385","1","2.06134505833192","58.2345529499834","1"
3.875,"3.53450284070366","92.7298655631648","0.999999161273992","3.15107542477392","73.5961607118513","0.999999161273992","2.94918399400242","69.5222873541096","0.999999161273992","2.4220598443918","59.680344411838","1","2.3439692987807","56.5257888715963","1","2.25575815576074","52.9756245799076","1","3.20827181550017","86.7955793835149","0.999999999998456","2.88610601730034","81.7002989444121","0.999999999998456","2.80234464552081","77.3303168595256","0.999999999998456","2.32106010376335","65.9615587555396","0.999999999999994","2.17121393538314","61.3823695929217","0.999999999999994","2.06134505833192","60.2958980083153","0.999999999999994"
4,"3.53168871259947","96.2615542757643","0.999989177189034","3.1513546865684","76.7475153984198","0.999989177189034","2.95089014514364","72.4731774992532","0.999989177189034","2.39801235232605","62.078356764164","1","2.31863445437765","58.8444233259739","1","2.22895609740354","55.2045806773112","1","3.1710410314155","89.9666204149304","0.999999999911663","2.94320784196226","84.6435067863743","0.999999999911663","2.77442919168469","80.1047460512103","0.999999999911663","2.39550136280069","68.3570601183403","0.999999999998914","2.21755838867442","63.5999279815961","0.999999999998914","2.10374280944842","62.3996408177637","0.999999999998967"
