"U_mps","temp_C","Exc_value","Pool_stage_ft","Lake_Sak_Upper_RM","spawn_rkm","p_retained","p_conserv","phi0_MR","phi0","lambda"
0.7,14,10,1850,1555.04,2833.449,0.004,0.001,3.5e-05,1.4e-07,0.861057493072732
0.9,14,10,1850,1555.04,2833.449,0,0,3.5e-05,0,0
0.5,16,10,1850,1555.04,2833.449,0.774,0.75,3.5e-05,2.709e-05,0.979648288772238
0.7,16,10,1850,1555.04,2833.449,0.006,0.001,3.5e-05,2.1e-07,0.868030664504864
0.9,16,10,1850,1555.04,2833.449,0,0,3.5e-05,0,0
0.5,18,10,1850,1555.04,2833.449,0.972,0.95,3.5e-05,3.402e-05,0.987937039325578
0.7,18,10,1850,1555.04,2833.449,0.014,0.01,3.5e-05,4.9e-07,0.88317877013685
0.9,18,10,1850,1555.04,2833.449,0,0,3.5e-05,0,0
0.5,20,10,1850,1555.04,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,20,10,1850,1555.04,2833.449,0.044,0.01,3.5e-05,1.54e-06,0.905311217487606
0.9,20,10,1850,1555.04,2833.449,0.001,0.001,3.5e-05,3.5e-08,0.838260782710318
0.5,22,10,1850,1555.04,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,22,10,1850,1555.04,2833.449,0.171,0.1,3.5e-05,5.985e-06,0.935581050639378
0.9,22,10,1850,1555.04,2833.449,0.005,0.001,3.5e-05,1.75e-07,0.864875361502861
0.5,24,10,1850,1555.04,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,24,10,1850,1555.04,2833.449,0.433,0.25,3.5e-05,1.5155e-05,0.960787081655279
0.9,24,10,1850,1555.04,2833.449,0.007,0.001,3.5e-05,2.45e-07,0.870725081988299
0.5,14,5,1853,1562.68,2833.449,0.349,0.25,3.5e-05,1.2215e-05,0.954472315501462
